timestamp;source;source_relative_path;category;type;extension;extraction_method;raw_length;cleaned_length;status;indexed;sensitive_columns;masked_values_count;free_text_masked_count;free_text_mask_types;ocr_pages_count;ocr_engine
2026-06-12T15:13:44.774773;D01 - APEM - Digitalisation Usine AFD V1.0.docx;AFD/AFD APEM/D01 - APEM - Digitalisation Usine AFD V1.0.docx;AFD;AFD APEM;.docx;docx_text;6795;6752;ok;True;;0;1;phone:1;0;
2026-06-12T15:13:44.857244;D02 - APEM - Digitalisation Usine AFD V1.0.docx;AFD/AFD APEM/D02 - APEM - Digitalisation Usine AFD V1.0.docx;AFD;AFD APEM;.docx;docx_text;6630;6628;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.046861;D02+D03 - APEM - Digitalisation Usine - Contrôle FInal  V1.0.docx;AFD/AFD APEM/D02+D03 - APEM - Digitalisation Usine - Contrôle FInal  V1.0.docx;AFD;AFD APEM;.docx;docx_text;19395;19389;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.255760;D03 - APEM - Digitalisation Usine AFD  V1.0.docx;AFD/AFD APEM/D03 - APEM - Digitalisation Usine AFD  V1.0.docx;AFD;AFD APEM;.docx;docx_text;15193;15189;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.436163;D04 - APEM - Digitalisation Usine - Plan d'échantillonnage V1.0.docx;AFD/AFD APEM/D04 - APEM - Digitalisation Usine - Plan d'échantillonnage V1.0.docx;AFD;AFD APEM;.docx;docx_text;18763;18753;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.620740;D01 - Cogitel - Digitalisation Process NCs AFD V1.0.docx;AFD/AFD Cogitel/AFD Client/D01 - Cogitel - Digitalisation Process NCs AFD V1.0.docx;AFD;AFD Client;.docx;docx_text;30711;30690;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.646893;User Integration - SF  V1.2.csv;AFD/AFD Cogitel/AFD Client/User Integration - SF  V1.2.csv;AFD;AFD Client;.csv;pipeline_exception;0;0;error;False;;0;0;;0;
2026-06-12T15:13:45.717185;User Integration - SF  V1.2.xlsx;AFD/AFD Cogitel/AFD Client/User Integration - SF  V1.2.xlsx;AFD;AFD Client;.xlsx;xlsx_openpyxl_masked;18362;17642;already_indexed;True;Mot de passe;180;180;email:180;0;
2026-06-12T15:13:45.718186;Actions définitives.png;AFD/AFD Cogitel/AFD en préparation/Actions définitives.png;AFD;AFD en préparation;.png;image_description_from_filename;178;178;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.719185;Actions immédiates.png;AFD/AFD Cogitel/AFD en préparation/Actions immédiates.png;AFD;AFD en préparation;.png;image_description_from_filename;176;176;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.720184;Causes.png;AFD/AFD Cogitel/AFD en préparation/Causes.png;AFD;AFD en préparation;.png;image_description_from_filename;152;152;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.776278;D02 - Cogitel - Digitalisation Process NCs AFD V0.9.docx;AFD/AFD Cogitel/AFD en préparation/D02 - Cogitel - Digitalisation Process NCs AFD V0.9.docx;AFD;AFD en préparation;.docx;docx_text;5902;5901;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.829273;D03 - Cogitel - Digitalisation Process NCs AFD V0.9.docx;AFD/AFD Cogitel/AFD en préparation/D03 - Cogitel - Digitalisation Process NCs AFD V0.9.docx;AFD;AFD en préparation;.docx;docx_text;4364;4319;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.881007;D04 - Cogitel - Digitalisation Process NCs AFD V0.9.docx;AFD/AFD Cogitel/AFD en préparation/D04 - Cogitel - Digitalisation Process NCs AFD V0.9.docx;AFD;AFD en préparation;.docx;docx_text;2171;2170;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.926502;D05 - Cogitel - Digitalisation Process NCs AFD V0.9.docx;AFD/AFD Cogitel/AFD en préparation/D05 - Cogitel - Digitalisation Process NCs AFD V0.9.docx;AFD;AFD en préparation;.docx;docx_text;2907;2906;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.983702;D06 - Cogitel - Digitalisation Process NCs AFD V0.9.docx;AFD/AFD Cogitel/AFD en préparation/D06 - Cogitel - Digitalisation Process NCs AFD V0.9.docx;AFD;AFD en préparation;.docx;docx_text;7326;7324;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.984704;Liste des NCs.png;AFD/AFD Cogitel/AFD en préparation/Liste des NCs.png;AFD;AFD en préparation;.png;image_description_from_filename;166;166;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.986704;Nouvelle action défintive.png;AFD/AFD Cogitel/AFD en préparation/Nouvelle action défintive.png;AFD;AFD en préparation;.png;image_description_from_filename;190;190;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.987705;Probléme-NCs Externe.png;AFD/AFD Cogitel/AFD en préparation/Probléme-NCs Externe.png;AFD;AFD en préparation;.png;image_description_from_filename;180;180;already_indexed;True;;0;0;;0;
2026-06-12T15:13:45.988703;Probléme-NCs Interne.png;AFD/AFD Cogitel/AFD en préparation/Probléme-NCs Interne.png;AFD;AFD en préparation;.png;image_description_from_filename;180;180;already_indexed;True;;0;0;;0;
2026-06-12T15:13:46.081477;D01 - Cotherm - EoL - AFD V1.2.docx;AFD/AFD Cotherm/AFD CLIENT/D01 - Cotherm - EoL - AFD V1.2.docx;AFD;AFD CLIENT;.docx;docx_text;7918;7907;already_indexed;True;;0;0;;0;
2026-06-12T15:13:46.145585;D02 - Cotherm - EoL - AFD V1.2.docx;AFD/AFD Cotherm/AFD CLIENT/D02 - Cotherm - EoL - AFD V1.2.docx;AFD;AFD CLIENT;.docx;docx_text;5104;5098;already_indexed;True;;0;0;;0;
2026-06-12T15:13:46.259990;D03 - Cotherm - EoL - AFD V1.0.docx;AFD/AFD Cotherm/AFD CLIENT/D03 - Cotherm - EoL - AFD V1.0.docx;AFD;AFD CLIENT;.docx;docx_text;8621;8614;already_indexed;True;;0;0;;0;
2026-06-12T15:13:46.319960;D04 - Cotherm - EoL - AFD V1.0.docx;AFD/AFD Cotherm/AFD CLIENT/D04 - Cotherm - EoL - AFD V1.0.docx;AFD;AFD CLIENT;.docx;docx_text;3181;3178;already_indexed;True;;0;0;;0;
2026-06-12T15:13:46.380352;D05 - Cotherm - EoL - AFD V1.0.docx;AFD/AFD Cotherm/AFD CLIENT/D05 - Cotherm - EoL - AFD V1.0.docx;AFD;AFD CLIENT;.docx;docx_text;2768;2764;already_indexed;True;;0;0;;0;
2026-06-12T15:13:46.435178;D06 - Cotherm - EoL - AFD V1.0.docx;AFD/AFD Cotherm/AFD CLIENT/D06 - Cotherm - EoL - AFD V1.0.docx;AFD;AFD CLIENT;.docx;docx_text;2008;2006;already_indexed;True;;0;0;;0;
2026-06-12T15:13:46.521056;D07 - Cotherm - EoL - AFD V1.2.docx;AFD/AFD Cotherm/AFD CLIENT/D07 - Cotherm - EoL - AFD V1.2.docx;AFD;AFD CLIENT;.docx;docx_text;11237;11230;already_indexed;True;;0;0;;0;
2026-06-12T15:13:46.575897;D08 - Cotherm - EoL - AFD V1.0.docx;AFD/AFD Cotherm/AFD CLIENT/D08 - Cotherm - EoL - AFD V1.0.docx;AFD;AFD CLIENT;.docx;docx_text;4457;4454;already_indexed;True;;0;0;;0;
2026-06-12T15:13:46.631652;D09 - Cotherm - EoL - AFD V1.0.docx;AFD/AFD Cotherm/AFD CLIENT/D09 - Cotherm - EoL - AFD V1.0.docx;AFD;AFD CLIENT;.docx;docx_text;2793;2790;already_indexed;True;;0;0;;0;
2026-06-12T15:13:46.680889;D10 - Cotherm - EoL - AFD V1.0.docx;AFD/AFD Cotherm/AFD CLIENT/D10 - Cotherm - EoL - AFD V1.0.docx;AFD;AFD CLIENT;.docx;docx_text;2931;2929;already_indexed;True;;0;0;;0;
2026-06-12T15:13:46.727863;D11 - Cotherm - EoL - AFD V1.0.docx;AFD/AFD Cotherm/AFD CLIENT/D11 - Cotherm - EoL - AFD V1.0.docx;AFD;AFD CLIENT;.docx;docx_text;2438;2432;already_indexed;True;;0;0;;0;
2026-06-12T15:13:46.781772;D12 - Cotherm - EoL - AFD V1.0.docx;AFD/AFD Cotherm/AFD CLIENT/D12 - Cotherm - EoL - AFD V1.0.docx;AFD;AFD CLIENT;.docx;docx_text;2137;2133;already_indexed;True;;0;0;;0;
